the 3762 4.678173497811381
and 2211 2.7494528452049343
of 2175 2.7046856346995622
to 2101 2.6126641464385196
i 1694 2.1065459610027855
a 1672 2.0791882212495025
he 1541 1.9162853163549542
you 1445 1.7969060883406287
that 1361 1.6924492638280937
it 1343 1.670065658575408
in 1209 1.503432152805412
was 1083 1.3467469160366097
his 996 1.238559490648627
is 907 1.1278849980103463
had 833 1.0358635097493036
him 661 0.8219757262236371
with 659 0.8194886589733386
for 587 0.7299542379625945
as 572 0.7113012335853561
at 562 0.6988658973338638
have 561 0.6976223637087147
me 523 0.6503680859530442
not 474 0.5894349383207322
be 453 0.5633207321925985
her 439 0.5459112614405093
one 436 0.5421806605650616
she 431 0.5359629924393156
t 418 0.5197970553123756
dorian 415 0.5160664544369279
what 399 0.49616991643454034
but 396 0.4924393155590927
are 373 0.46383804218066055
on 358 0.4451850378034222
there 337 0.41907083167528847
they 318 0.3954436927974533
would 308 0.383008356545961
my 303 0.37679068842021485
all 294 0.36559888579387184
said 262 0.3258058097890967
s 260 0.3233187425387982
don 255 0.31710107441305213
from 254 0.3158575407879029
were 251 0.3121269399124552
so 248 0.3083963390370076
lord 248 0.3083963390370076
henry 236 0.2934739355352169
been 236 0.2934739355352169
am 232 0.28849980103462
life 231 0.28725626740947074
an 229 0.2847692001591723
who 225 0.2797950656585754
some 224 0.2785515320334262
if 224 0.2785515320334262
about 223 0.27730799840827697
or 220 0.2735773975328293
by 218 0.2710903302825308
no 218 0.2710903302825308
when 218 0.2710903302825308
like 213 0.26487266215678473
your 207 0.25741146040588936
them 203 0.2524373259052925
will 201 0.24995025865499404
gray 200 0.2487067250298448
do 185 0.23005372065260646
man 180 0.22383605252686034
harry 178 0.22134898527656188
know 176 0.21886191802626345
never 176 0.21886191802626345
has 169 0.21015718265021888
we 169 0.21015718265021888
over 169 0.21015718265021888
into 159 0.19772184639872664
basil 158 0.1964783127735774
their 156 0.19399124552327895
out 156 0.19399124552327895
must 154 0.1915041782729805
up 150 0.1865300437723836
how 149 0.18528651014723438
this 148 0.18404297652208515
can 147 0.18279944289693592
then 147 0.18279944289693592
more 136 0.16912057302029446
could 136 0.16912057302029446
now 134 0.16663350576999603
good 133 0.1653899721448468
own 130 0.1616593712693991
things 128 0.15917230401910068
think 127 0.15792877039395145
something 126 0.15668523676880222
its 126 0.15668523676880222
very 123 0.15295463589335456
come 123 0.15295463589335456
see 122 0.15171110226820533
than 121 0.1504675686430561
us 121 0.1504675686430561
thing 120 0.14922403501790688
which 119 0.14798050139275765
seemed 119 0.14798050139275765
any 117 0.14549343414245922
go 115 0.14300636689216076
should 115 0.14300636689216076
love 112 0.1392757660167131
only 111 0.13803223239156387
time 110 0.13678869876641464
made 110 0.13678869876641464
always 110 0.13678869876641464
eyes 109 0.1355451651412654
face 107 0.13305809789096698
quite 107 0.13305809789096698
himself 106 0.13181456426581775
too 106 0.13181456426581775
want 105 0.13057103064066852
really 103 0.12808396339037006
after 103 0.12808396339037006
room 102 0.12684042976522086
people 101 0.12559689614007163
down 101 0.12559689614007163
back 100 0.1243533625149224
did 100 0.1243533625149224
came 99 0.12310982888977318
away 99 0.12310982888977318
night 98 0.12186629526462396
say 97 0.12062276163947473
cried 95 0.11813569438917629
looked 94 0.11689216076402706
world 93 0.11564862713887784
nothing 93 0.11564862713887784
tell 93 0.11564862713887784
why 92 0.11440509351372861
hallward 91 0.11316155988857939
much 91 0.11316155988857939
look 91 0.11316155988857939
little 87 0.1081874253879825
answered 87 0.1081874253879825
going 87 0.1081874253879825
mr 87 0.1081874253879825
yes 85 0.10570035813768405
sibyl 85 0.10570035813768405
thought 84 0.10445682451253482
through 84 0.10445682451253482
upon 84 0.10445682451253482
once 80 0.09948269001193794
round 80 0.09948269001193794
shall 79 0.0982391563867887
ever 78 0.09699562276163948
art 77 0.09575208913649025
such 77 0.09575208913649025
told 77 0.09575208913649025
day 77 0.09575208913649025
felt 76 0.09450855551134102
great 75 0.0932650218861918
men 74 0.09202148826104257
most 74 0.09202148826104257
long 73 0.09077795463589335
dear 73 0.09077795463589335
before 73 0.09077795463589335
young 72 0.08953442101074413
our 72 0.08953442101074413
other 72 0.08953442101074413
again 72 0.08953442101074413
yet 72 0.08953442101074413
picture 70 0.08704735376044569
looking 70 0.08704735376044569
everything 69 0.08580382013529646
lady 69 0.08580382013529646
anything 68 0.08456028651014723
moment 68 0.08456028651014723
soul 68 0.08456028651014723
well 67 0.08331675288499801
door 67 0.08331675288499801
women 66 0.08207321925984878
hand 66 0.08207321925984878
let 66 0.08207321925984878
those 65 0.08082968563469956
two 64 0.07958615200955034
being 63 0.07834261838440111
went 63 0.07834261838440111
across 61 0.07585555113410267
might 61 0.07585555113410267
old 61 0.07585555113410267
asked 61 0.07585555113410267
afraid 61 0.07585555113410267
make 60 0.07461201750895344
passed 60 0.07461201750895344
every 60 0.07461201750895344
table 59 0.07336848388380422
white 58 0.072124950258655
wonderful 58 0.072124950258655
vane 58 0.072124950258655
lips 57 0.07088141663350576
sir 56 0.06963788300835655
beauty 55 0.06839434938320732
left 55 0.06839434938320732
where 54 0.0671508157580581
better 54 0.0671508157580581
turned 54 0.0671508157580581
got 54 0.0671508157580581
house 54 0.0671508157580581
head 53 0.06590728213290888
portrait 52 0.06466374850775965
hands 52 0.06466374850775965
lad 52 0.06466374850775965
course 51 0.06342021488261043
here 51 0.06342021488261043
done 50 0.0621766812574612
oh 50 0.0621766812574612
even 49 0.06093314763231198
true 49 0.06093314763231198
believe 49 0.06093314763231198
right 49 0.06093314763231198
